"ts","state","rpm","wetBulbFahrenheit","relativeHumidity","windSpeed","windDirection","hourlyPrecip","watts"
2016-06-14 23:08:34,"Power ramp-up",81.5,62,97,6,140,NA,599.5
2016-06-14 23:09:35,"Running",75.2,62,97,6,140,NA,1251.1
2016-06-14 23:10:35,"Running",72.8,62,97,6,140,NA,964
2016-06-14 23:11:35,"Running",61.4,62,97,6,140,NA,592
2016-06-14 23:12:34,"Running",82.5,62,97,6,140,NA,1441.1
2016-06-14 23:13:35,"Running",45.6,62,97,6,140,NA,262.1
2016-06-14 23:14:36,"Running",85.6,62,97,6,140,NA,1158.4
2016-06-14 23:15:35,"Running",59.5,62,97,6,140,NA,670.9
2016-06-14 23:16:33,"Running",70.2,62,97,6,140,NA,844.5
2016-06-14 23:17:34,"Running",81.7,62,97,6,140,NA,1274.2
2016-06-14 23:18:35,"Running",68.5,62,97,6,140,NA,805.8
2016-06-14 23:19:35,"Running",83.2,62,97,6,140,NA,1303.3
2016-06-14 23:20:34,"Running",73,62,97,6,140,NA,941.1
2016-06-14 23:21:36,"Soft Start",53.9,62,97,6,140,NA,0
2016-06-14 23:22:35,"Running",75.4,62,97,6,140,NA,900.8
2016-06-14 23:23:34,"Running",48,62,97,6,140,NA,320.9
2016-06-14 23:24:34,"Power ramp-up",71.9,62,97,6,140,NA,284.5
2016-06-14 23:25:34,"Running",68.9,62,97,6,140,NA,683.3
2016-06-14 23:26:34,"Running",72.4,62,97,6,140,NA,952.3
2016-06-14 23:27:34,"Running",45.6,62,97,6,140,NA,269.6
2016-06-14 23:28:34,"Running",68,62,97,6,140,NA,832.5
2016-06-14 23:29:35,"Running",65.3,62,97,6,140,NA,628.5
2016-06-14 23:30:36,"Running",73.8,62,97,6,140,NA,965.8
2016-06-14 23:31:34,"Running",41.4,62,97,6,140,NA,155.8
2016-06-14 23:32:33,"Running",83.5,62,97,6,140,NA,1557.4
2016-06-14 23:33:34,"Running",42.4,62,97,6,140,NA,233.7
2016-06-14 23:34:36,"Power ramp-up",80.4,62,97,6,140,NA,701.3
2016-06-14 23:35:34,"Power ramp-up",78.7,62,97,6,140,NA,438.4
2016-06-14 23:36:35,"Running",57,62,97,6,140,NA,442.4
2016-06-14 23:37:34,"Running",67.7,62,97,6,140,NA,852.6
2016-06-14 23:38:34,"Running",56.7,62,97,6,140,NA,476
2016-06-14 23:39:34,"Soft Start",67.4,62,97,6,140,NA,95.1
2016-06-14 23:40:33,"Running",42.3,62,97,6,140,NA,225.1
2016-06-14 23:41:35,"Running",54.6,62,97,6,140,NA,456.8
2016-06-14 23:42:34,"Running",60.3,62,97,6,140,NA,470.1
2016-06-14 23:43:35,"Running",81.6,62,97,6,140,NA,1237.8
2016-06-14 23:44:35,"Running",59.1,62,97,6,140,NA,503.2
2016-06-14 23:45:34,"Running",40.8,62,97,6,140,NA,96.9
2016-06-14 23:46:33,"Running",70.8,62,97,6,140,NA,815.1
2016-06-14 23:47:36,"Running",59.5,62,97,6,140,NA,786.4
2016-06-14 23:48:37,"Power ramp-up",83.8,62,97,6,140,NA,717.1
2016-06-14 23:49:34,"Running",65,62,97,6,140,NA,596.2
2016-06-14 23:50:36,"Running",65,62,97,6,140,NA,707
2016-06-14 23:51:35,"Power ramp-up",78.2,62,97,6,140,NA,473.8
2016-06-14 23:52:34,"Soft Start",72.5,62,97,6,140,NA,265.2
2016-06-14 23:53:34,"Running",52.9,61,97,5,150,NA,395.7
2016-06-14 23:54:36,"Soft Start",72.3,61,97,5,150,NA,208.9
2016-06-14 23:55:34,"Running",82.9,61,97,5,150,NA,1371.8
2016-06-14 23:56:34,"Running",40.7,61,97,5,150,NA,107.2
2016-06-14 23:57:35,"Power ramp-up",77.2,61,97,5,150,NA,460.5
2016-06-14 23:58:34,"Running",63.7,61,97,5,150,NA,743.1
2016-06-14 23:59:35,"Soft Start",86.4,61,97,5,150,NA,393.5
2016-06-15 00:00:36,"Running",52.6,61,97,5,150,NA,430.9
2016-06-15 00:01:35,"Running",73.6,61,97,5,150,NA,964.7
2016-06-15 00:02:36,"Running",61.4,61,97,5,150,NA,573.7
2016-06-15 00:03:35,"Running",72.2,61,97,5,150,NA,748.5
2016-06-15 00:04:34,"Running",81.5,61,97,5,150,NA,1335.7
2016-06-15 00:05:35,"Running",74.6,61,97,5,150,NA,1027.4
2016-06-15 00:06:36,"Running",83.2,61,97,5,150,NA,1286.7
2016-06-15 00:07:35,"Running",75.9,61,97,5,150,NA,1136.9
2016-06-15 00:08:34,"Running",40.9,61,97,5,150,NA,61.9
2016-06-15 00:09:35,"Running",47.3,61,97,5,150,NA,286.1
2016-06-15 00:10:33,"Power ramp-up",78.9,61,97,5,150,NA,516.7
2016-06-15 00:11:36,"Running",73,61,97,5,150,NA,976.6
2016-06-15 00:12:34,"Power ramp-up",83.1,61,97,5,150,NA,662.3
2016-06-15 00:13:34,"Power ramp-up",64.6,61,97,5,150,NA,86.7
2016-06-15 00:14:35,"Running",94.8,61,97,5,150,NA,2405.5
2016-06-15 00:15:34,"Running",76.2,61,97,5,150,NA,1010.8
2016-06-15 00:16:35,"Running",77.7,61,97,5,150,NA,1027.5
2016-06-15 00:17:34,"Running",108.8,61,97,5,150,NA,2784.3
2016-06-15 00:18:35,"Running",93.6,61,97,5,150,NA,1816.3
2016-06-15 00:19:37,"Running",55.2,61,97,5,150,NA,430.8
2016-06-15 00:20:34,"Running",75.6,61,97,5,150,NA,795.8
2016-06-15 00:21:36,"Running",48.6,61,97,5,150,NA,308.6
2016-06-15 00:22:36,"Power ramp-up",76.6,61,97,5,150,NA,418.8
2016-06-15 00:23:34,"Running",54.1,61,97,5,150,NA,470.9
2016-06-15 00:24:35,"Soft Start",70.1,61,97,5,150,NA,224.1
2016-06-15 00:25:36,"Power ramp-up",79,61,97,5,150,NA,541.6
2016-06-15 00:26:34,"Running",72.7,61,97,5,150,NA,904.1
2016-06-15 00:27:35,"Running",75.5,61,97,5,150,NA,1044.1
2016-06-15 00:28:35,"Running",70.2,61,97,5,150,NA,811.3
2016-06-15 00:29:35,"Running",62.3,61,97,5,150,NA,557.5
2016-06-15 00:30:34,"Running",41.1,61,97,5,150,NA,112.5
2016-06-15 00:31:34,"Running",36,61,97,5,150,NA,0
2016-06-15 00:32:35,"Power ramp-up",90.4,61,97,5,150,NA,1316.7
2016-06-15 00:33:35,"Running",51.3,61,97,5,150,NA,355.5
2016-06-15 00:34:35,"Power ramp-up",78.7,61,97,5,140,NA,365.1
2016-06-15 00:35:35,"Running",82,61,97,5,140,NA,1368.4
2016-06-15 00:36:35,"Running",75,61,97,5,140,NA,1030.3
2016-06-15 00:37:35,"Running",58.8,61,97,5,140,NA,515.8
2016-06-15 00:38:34,"Running",42.7,61,97,5,140,NA,231.5
2016-06-15 00:39:36,"Power ramp-up",82.2,61,97,5,140,NA,654.8
2016-06-15 00:40:35,"Running",72.3,61,97,5,140,NA,1101.4
2016-06-15 00:41:36,"Running",78.4,61,97,5,140,NA,1183.8
2016-06-15 00:42:35,"Running",52.9,61,97,5,140,NA,384.3
2016-06-15 00:43:35,"Running",54,61,97,6,150,NA,397.1
2016-06-15 00:44:36,"Running",56.1,61,97,6,150,NA,465.4
2016-06-15 00:45:34,"Power ramp-up",74,61,97,6,150,NA,344.4
2016-06-15 00:46:36,"Power ramp-up",67.1,61,97,6,150,NA,92.1
2016-06-15 00:47:35,"Running",69.7,61,97,6,150,NA,1112.1
2016-06-15 00:48:36,"Running",41.1,61,97,6,150,NA,178.1
2016-06-15 00:49:35,"Power ramp-up",70.3,61,97,6,150,NA,228.9
2016-06-15 00:50:35,"Running",78.1,61,97,6,150,NA,1247.3
2016-06-15 00:51:35,"Running",40.7,61,97,6,150,NA,79.8
2016-06-15 00:52:34,"Power ramp-up",86,61,97,6,150,NA,779.1
2016-06-15 00:53:35,"Power ramp-up",84.5,62,93,6,150,NA,730.6
2016-06-15 00:54:36,"Power ramp-up",77.3,62,93,6,150,NA,459.3
2016-06-15 00:55:37,"Running",43.8,62,93,6,150,NA,268.9
2016-06-15 00:56:35,"Power ramp-up",69.2,62,93,6,150,NA,190.1
2016-06-15 00:57:36,"Power ramp-up",80.1,62,93,6,150,NA,560.1
2016-06-15 00:58:37,"Power ramp-up",73.3,62,93,6,150,NA,274.6
2016-06-15 00:59:35,"Power ramp-up",75.8,62,93,6,150,NA,455.5
2016-06-15 01:00:35,"Power ramp-up",94.7,62,93,6,150,NA,1057.5
2016-06-15 01:01:35,"Running",59.1,62,93,6,150,NA,499.1
2016-06-15 01:02:35,"Running",40.6,62,93,6,150,NA,221
2016-06-15 01:03:35,"Soft Start",68.5,62,93,6,150,NA,128.9
2016-06-15 01:04:37,"Running",64.6,62,93,6,150,NA,618.5
2016-06-15 01:05:35,"Soft Start",61.3,62,93,6,150,NA,81.6
2016-06-15 01:06:36,"Running",62.4,62,93,6,150,NA,631.1
2016-06-15 01:07:34,"Power ramp-up",74.3,62,93,6,150,NA,341.7
2016-06-15 01:08:35,"Power ramp-up",80.7,62,93,6,150,NA,575.3
2016-06-15 01:09:36,"Running",85.9,62,93,6,150,NA,1416.3
2016-06-15 01:10:34,"Running",58.5,62,93,6,150,NA,522.4
2016-06-15 01:11:36,"Running",43.4,62,93,6,150,NA,226.6
2016-06-15 01:12:36,"Power ramp-up",96.8,62,93,6,150,NA,1077
2016-06-15 01:13:36,"Running",49.1,62,93,6,150,NA,321.1
2016-06-15 01:14:35,"Soft Start",68.3,62,93,6,150,NA,116
2016-06-15 01:15:36,"Soft Start",58.2,62,93,6,150,NA,133.5
2016-06-15 01:16:36,"Power ramp-up",72.5,62,93,6,150,NA,296.1
2016-06-15 01:17:36,"Running",74.6,62,93,6,150,NA,1016.7
2016-06-15 01:18:35,"Running",45.2,62,93,6,150,NA,266.3
2016-06-15 01:19:35,"Power ramp-up",70.8,62,93,6,150,NA,305.8
2016-06-15 01:20:35,"Power ramp-up",68.5,62,93,6,150,NA,169.7
2016-06-15 01:21:36,"Power ramp-up",76.9,62,93,6,150,NA,429.4
2016-06-15 01:22:35,"Power ramp-up",82.4,62,93,6,150,NA,630.9
2016-06-15 01:23:36,"Power ramp-up",79.2,62,93,6,150,NA,483.3
2016-06-15 01:24:36,"Running",57.8,62,97,6,150,NA,499.7
2016-06-15 01:25:36,"Running",63.9,62,97,6,150,NA,631.1
